06.12.2016 07:00;10.2;715.6;91;0.0;0;15.0;8.8;2.0;0;14.8;
07.12.2016 07:00;11.5;717.4;99;4.0;4;10.0;11.3;0.2;0;15.5;
08.12.2016 07:00;10.5;720.5;97;6.0;1;15.0;10.1;0;0;16.9;
09.12.2016 07:00;7.5;722.0;100;4.0;1;0.2;7.5;0;0;14.5;
10.12.2016 07:00;10.4;721.9;100;0.0;0;0.3;10.4;0;0;16.5;
11.12.2016 07:00;5.5;720.0;99;0.0;0;20.0;5.3;0;0;16.0;
12.12.2016 07:00;4.6;717.3;99;0.0;0;15.0;4.4;0;0;14.3;
13.12.2016 07:00;3.6;718.2;100;0.0;0;0.5;3.6;0;0;13.5;
14.12.2016 07:00;2.5;718.0;98;0.0;0;15.0;2.2;0;0;14.5;
15.12.2016 07:00;5.0;715.6;92;0.0;0;20.0;3.8;0;0;13.4;
16.12.2016 07:00;8.8;715.0;92;2.8;2;10.0;7.5;0;0;12.3;
17.12.2016 07:00;9.2;716.1;97;0.0;0;8.0;8.8;2.0;0;12.6;
18.12.2016 07:00;8.8;718.0;92;4.0;3;15.0;7.5;0;0;13.0;
19.12.2016 07:00;12.5;709.6;61;4.0;4;15.0;5.2;;0;13.8;
20.12.2016 07:00;8.4;709.1;88;4.0;1;15.0;6.5;6.0;0;10.9;
21.12.2016 07:00;8.0;715.3;93;2.8;3;6.0;6.9;7.0;0;9.5;
22.12.2016 07:00;9.0;717.8;99;1.7;1;10.0;8.8;28.0;0;12.4;
23.12.2016 07:00;7.6;724.8;96;0.0;0;5.0;7.0;4.0;0;12.0;
24.12.2016 07:00;8.1;725.9;99;0.0;0;10.0;7.9;0;0;13.0;
25.12.2016 07:00;6.9;724.9;100;0.0;0;0.2;6.9;0;0;8.4;
26.12.2016 07:00;2.0;722.7;100;0.0;0;1.5;2.0;0;0;11.7;
27.12.2016 07:00;2.5;722.1;95;0.0;0;20.0;1.7;0;0;12.8;
28.12.2016 07:00;6.5;723.0;99;0.0;0;8.0;6.3;0;0;13.0;
29.12.2016 07:00;2.0;723.5;97;0.0;0;20.0;1.5;0;0;11.0;
30.12.2016 07:00;3.4;724.0;99;0.0;0;2.0;3.2;0;0;10.4;
31.12.2016 07:00;4.5;722.7;99;0.0;0;1.2;4.3;0;0;8.8;
01.01.2017 07:00;1.4;719.9;98;0.0;0;15.0;1.1;0;0;11.0;
02.01.2017 07:00;3.2;717.8;97;0.0;0;20.0;2.7;0;0;12.6;
03.01.2017 07:00;1.6;717.6;89;0.0;0;20.0;0.0;0;0;13.0;
04.01.2017 07:00;5.0;717.7;73;2.8;4;20.0;0.5;0;0;13.1;
05.01.2017 07:00;9.5;715.6;96;4.0;1;15.0;8.9;0;0;12.5;
06.01.2017 07:00;6.5;718.2;79;4.0;5;15.0;3.1;0;0;9.4;
07.01.2017 07:00;-0.5;720.9;98;0.0;0;15.0;-0.8;0;0;9.5;
08.01.2017 07:00;-0.2;720.0;98;0.0;0;20.0;-0.5;0;0;11.4;
09.01.2017 07:00;7.0;716.6;99;6.0;4;15.0;6.8;0;0;10.8;
10.01.2017 07:00;2.4;714.1;100;6.0;1;0.2;2.4;0.3;0;9.8;
11.01.2017 07:00;5.0;708.7;92;4.5;2;15.0;3.8;25.0;0;8.9;
12.01.2017 07:00;5.5;719.2;97;0.0;0;10.0;5.0;2.0;0;10.8;
13.01.2017 07:00;2.9;714.7;99;0.0;0;10.0;2.7;0;0;13.6;
14.01.2017 07:00;5.8;714.2;97;0.0;0;5.0;5.3;2.0;0;8.2;
15.01.2017 07:00;1.0;715.6;98;2.8;1;10.0;0.7;11.0;0;6.0;
16.01.2017 07:00;2.5;713.7;97;6.0;3;6.0;2.0;9.0;0;4.6;
17.01.2017 07:00;4.0;707.8;97;6.0;5;10.0;3.5;30.0;0;
18.01.2017 07:00;0.6;710.9;98;6.0;4;6.0;0.3;11.0;0;3.0;;
